Date,Value
2020-08-06,27.411794662475586
2020-08-07,27.458314895629883
2020-08-10,27.47002410888672
2020-08-11,27.336950302124023
2020-08-12,27.35193634033203
2020-08-13,27.268951416015625
2020-08-14,27.13469886779785
2020-08-17,27.084110260009766
2020-08-18,27.025863647460938
2020-08-19,26.917558670043945
2020-08-20,27.114599227905273
2020-08-21,27.198535919189453
2020-08-24,27.189340591430664
2020-08-25,27.21269989013672
2020-08-26,27.16794204711914
2020-08-27,27.187410354614258
2020-08-28,27.241487503051758
2020-08-31,27.234909057617188
2020-09-01,27.265914916992188
2020-09-02,27.347734451293945
2020-09-03,27.410804748535156
2020-09-04,27.45110321044922
2020-09-07,27.452119827270508
2020-09-08,27.51390838623047
2020-09-09,27.578659057617188
2020-09-10,27.5780086517334
2020-09-11,27.591333389282227
2020-09-14,27.658517837524414
2020-09-15,27.74172592163086
2020-09-16,27.855615615844727
2020-09-17,27.833507537841797
2020-09-18,27.908828735351562
2020-09-21,27.9101619720459
2020-09-22,27.98270034790039
2020-09-23,27.953039169311523
2020-09-24,27.927282333374023
2020-09-25,27.989524841308594
2020-09-28,28.023277282714844
2020-09-29,28.028453826904297
2020-09-30,28.03019142150879
2020-10-01,28.05349349975586
2020-10-02,28.066387176513672
2020-10-05,28.100248336791992
2020-10-06,28.144067764282227
2020-10-07,28.11609649658203
2020-10-08,28.056631088256836
2020-10-09,28.02444839477539
2020-10-12,27.95703887939453
2020-10-13,28.02406120300293
2020-10-14,28.068517684936523
2020-10-15,28.083223342895508
2020-10-16,28.09923553466797
2020-10-19,28.103763580322266
2020-10-20,28.112112045288086
2020-10-21,28.118423461914062
2020-10-22,28.00266456604004
2020-10-23,28.025653839111328
2020-10-26,28.047466278076172
2020-10-27,28.08148956298828
2020-10-28,28.106185913085938
2020-10-29,28.164243698120117
2020-10-30,28.27334976196289
2020-11-02,28.203147888183594
2020-11-03,28.342187881469727
2020-11-04,28.31003189086914
2020-11-05,28.178306579589844
2020-11-06,27.988094329833984
2020-11-09,27.849382400512695
2020-11-10,27.85809326171875
2020-11-11,27.864036560058594
2020-11-12,27.92876625061035
2020-11-13,27.956527709960938
2020-11-16,27.878616333007812
2020-11-17,27.81485939025879
2020-11-18,27.87622833251953
2020-11-19,27.904996871948242
2020-11-20,28.09442710876465
2020-11-23,28.111331939697266
2020-11-24,28.141969680786133
2020-11-25,28.1142635345459
2020-11-26,28.149961471557617
2020-11-27,28.193742752075195
2020-11-30,28.255151748657227
2020-12-01,28.250051498413086
2020-12-02,28.323501586914062
2020-12-03,28.187885284423828
2020-12-04,28.085479736328125
2020-12-07,28.04530143737793
2020-12-08,27.945539474487305
2020-12-09,27.816680908203125
2020-12-10,27.845691680908203
2020-12-11,27.84613609313965
2020-12-14,27.717632293701172
2020-12-15,27.612096786499023
2020-12-16,27.507444381713867
2020-12-17,27.568788528442383
2020-12-18,27.609397888183594
2020-12-21,27.656152725219727
2020-12-22,27.872072219848633
2020-12-23,28.14609718322754
2020-12-24,28.209842681884766
2020-12-25,28.1320743560791
2020-12-28,28.13922882080078
2020-12-29,28.11431312561035
2020-12-30,27.945161819458008
2020-12-31,28.095176696777344
2021-01-01,28.084789276123047
2021-01-04,28.229644775390625
2021-01-05,28.18632698059082
2021-01-06,28.09446907043457
2021-01-07,28.006122589111328
2021-01-08,28.034095764160156
2021-01-11,28.086217880249023
2021-01-12,27.920730590820312
2021-01-13,27.782426834106445
2021-01-14,27.71769905090332
2021-01-15,27.827295303344727
2021-01-18,27.928556442260742
2021-01-19,27.968713760375977
2021-01-20,27.882999420166016
2021-01-21,28.006820678710938
2021-01-22,28.040536880493164
2021-01-25,27.934783935546875
2021-01-26,27.903846740722656
2021-01-27,27.89022445678711
2021-01-28,27.934837341308594
2021-01-29,27.912973403930664
2021-02-01,27.849227905273438
2021-02-02,27.798555374145508
2021-02-03,27.78229331970215
2021-02-04,27.74435806274414
2021-02-05,27.604145050048828
2021-02-08,27.510496139526367
2021-02-09,27.4000244140625
2021-02-10,27.46133041381836
2021-02-11,27.53678321838379
2021-02-12,27.55849838256836
2021-02-15,27.62265968322754
2021-02-16,27.616954803466797
2021-02-17,27.605684280395508
